順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
7,2008.166,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,おんみつマント,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,きあいのタスキ,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,みず,のろいのおふだ,1003-00,ディンルー,,あく,じめん,準伝説,どく,とつげきチョッキ,0035-00,ピッピ,,フェアリー,,一般,くさ,しんかのきせき,0727-00,ガオガエン,,ほのお,あく,一般,みず,ゴツゴツメット
26,1969.781,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,みず,のろいのおふだ,1004-00,イーユイ,,あく,ほのお,準伝説,ステラ,おんみつマント,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,いのちのたま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,0035-00,ピッピ,,フェアリー,,一般,じめん,しんかのきせき
49,1937.043,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりメガネ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,みず,とつげきチョッキ,1004-00,イーユイ,,あく,ほのお,準伝説,ほのお,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,みず,エレキシード
66,1926.379,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,フェアリー,とつげきチョッキ,0727-00,ガオガエン,,ほのお,あく,一般,フェアリー,ゴツゴツメット,0812-00,ゴリランダー,,くさ,,一般,ほのお,きせきのタネ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,はがね,しずくプレート,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま
67,1925.903,0383-00,グラードン,,じめん,,禁止伝説,じめん,こだわりスカーフ,0302-00,ヤミラミ,,あく,ゴースト,一般,あく,だっしゅつボタン,0985-00,サケブシッポ,,フェアリー,エスパー,パラドックス,ノーマル,メンタルハーブ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ひこう,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0485-00,ヒードラン,,ほのお,はがね,準伝説,むし,こだわりメガネ
80,1920.375,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,パワフルハーブ,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,オボンのみ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット
83,1919.652,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,ゴツゴツメット,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,エレキシード,1004-00,イーユイ,,あく,ほのお,準伝説,くさ,おんみつマント,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ
96,1913.447,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,のろいのおふだ,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,しんぴのしずく,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,フェアリー,おんみつマント,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット
137,1885.536,0487-01,ギラティナ,オリジンフォルム,ゴースト,ドラゴン,禁止伝説,ゴースト,だいはっきんだま,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,はがね,ぼうじんゴーグル,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ノーマル,メンタルハーブ,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,こだわりハチマキ
193,1862.505,0382-00,カイオーガ,,みず,,禁止伝説,どく,おんみつマント,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ゴースト,ゴツゴツメット,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,くさ,きあいのタスキ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,あく,ジャポのみ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,こだわりスカーフ
