順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
6,2054.099,0977-00,ヘイラッシャ,,みず,,一般,ゴースト,フィラのみ,0485-00,ヒードラン,,ほのお,はがね,準伝説,くさ,いのちのたま,0745-00,ルガルガン,まひるのすがた,いわ,,一般,ゴースト,きあいのタスキ,0248-00,バンギラス,,いわ,あく,一般,ひこう,こだわりハチマキ,0978-02,シャリタツ,のびたすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0700-00,ニンフィア,,フェアリー,,一般,みず,こだわりメガネ
36,2009.61,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,いのちのたま,0986-00,アラブルタケ,,くさ,あく,パラドックス,ほのお,ブーストエナジー,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,0488-00,クレセリア,,エスパー,,準伝説,フェアリー,メンタルハーブ
41,2007.995,1002-00,パオジアン,,あく,こおり,準伝説,くさ,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,はがね,いのちのたま,0212-00,ハッサム,,むし,はがね,一般,ドラゴン,オボンのみ,0485-00,ヒードラン,,ほのお,はがね,準伝説,くさ,たべのこし,0488-00,クレセリア,,エスパー,,準伝説,フェアリー,こだわりスカーフ,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,ノーマル,こだわりメガネ
43,2007.675,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,ふうせん,0700-00,ニンフィア,,フェアリー,,一般,みず,こだわりメガネ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,フェアリー,ゴツゴツメット,0279-00,ペリッパー,,みず,ひこう,一般,あく,オボンのみ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,はがね,いのちのたま,1001-00,チオンジェン,,あく,くさ,準伝説,どく,とつげきチョッキ
80,1973.617,0903-00,オオニューラ,,かくとう,どく,一般,ゴースト,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,みず,こだわりメガネ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,フェアリー,ゴツゴツメット,0279-00,ペリッパー,,みず,ひこう,一般,あく,ぼうじんゴーグル,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,はがね,いのちのたま,1001-00,チオンジェン,,あく,くさ,準伝説,どく,とつげきチョッキ
160,1917.451,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ゴースト,するどいくちばし,0248-00,バンギラス,,いわ,あく,一般,みず,こだわりハチマキ,0286-00,キノガッサ,,くさ,かくとう,一般,ゴースト,いかさまダイス,0488-00,クレセリア,,エスパー,,準伝説,フェアリー,ゴツゴツメット,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,こだわりメガネ
166,1915.995,0482-00,アグノム,,エスパー,,準伝説,ノーマル,おんみつマント,0894-00,レジエレキ,,でんき,,準伝説,ノーマル,こだわりスカーフ,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,くさ,どくどくだま,0977-00,ヘイラッシャ,,みず,,一般,ドラゴン,たべのこし,0973-00,カラミンゴ,,ひこう,かくとう,一般,みず,オボンのみ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ゴースト,きあいのタスキ
189,1909.191,0952-00,スコヴィラン,,くさ,ほのお,一般,ほのお,きあいのタスキ,0089-01,ベトベトン,アローラのすがた,どく,あく,一般,みず,たべのこし,0302-00,ヤミラミ,,あく,ゴースト,一般,くさ,ロゼルのみ,0973-00,カラミンゴ,,ひこう,かくとう,一般,ひこう,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,みず,ウイのみ,0908-00,マスカーニャ,,くさ,あく,一般,くさ,ものまねハーブ
245,1887.11,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,オボンのみ,0991-00,テツノツツミ,,こおり,みず,パラドックス,じめん,ブーストエナジー,0485-00,ヒードラン,,ほのお,はがね,準伝説,くさ,たべのこし,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ゴースト,こだわりハチマキ,0812-00,ゴリランダー,,くさ,,一般,いわ,いかさまダイス,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ひこう,とつげきチョッキ
675,1800.511,0977-00,ヘイラッシャ,,みず,,一般,くさ,たべのこし,0978-01,シャリタツ,たれたすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0059-01,ウインディ,ヒスイのすがた,ほのお,いわ,一般,フェアリー,とつげきチョッキ,0485-00,ヒードラン,,ほのお,はがね,準伝説,くさ,ヨプのみ,0642-00,ボルトロス,けしんフォルム,でんき,ひこう,準伝説,みず,こうかくレンズ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,どく,いのちのたま
