順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2260.7,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,じめん,くちたけん,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,フェアリー,ばんのうがさ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,ゴツゴツメット,0576-00,ゴチルゼル,,エスパー,,一般,ひこう,カゴのみ
2,2224.111,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,かくとう,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,おんみつマント,0903-00,オオニューラ,,かくとう,どく,一般,じめん,ノーマルジュエル,0594-00,ママンボウ,,みず,,一般,フェアリー,たべのこし,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま
3,2214.97,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,じゃくてんほけん,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0594-00,ママンボウ,,みず,,一般,みず,ピッピにんぎょう,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,ひかりのねんど,0977-00,ヘイラッシャ,,みず,,一般,はがね,とつげきチョッキ,0576-00,ゴチルゼル,,エスパー,,一般,ひこう,たべのこし
4,2213.844,0132-00,メタモン,,ノーマル,,一般,フェアリー,こだわりスカーフ,0472-00,グライオン,,じめん,ひこう,一般,みず,どくどくだま,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,ひかりのねんど,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,エレキシード
5,2210.037,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,たべのこし,0727-00,ガオガエン,,ほのお,あく,一般,どく,オボンのみ,0812-00,ゴリランダー,,くさ,,一般,くさ,とつげきチョッキ,0576-00,ゴチルゼル,,エスパー,,一般,どく,ふうせん,0970-00,キラフロル,,いわ,どく,一般,ゴースト,きあいのタスキ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,ゴツゴツメット
6,2209.38,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,みず,こだわりスカーフ,1002-00,パオジアン,,あく,こおり,準伝説,でんき,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ほのお,ブーストエナジー,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,とつげきチョッキ,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ
7,2204.498,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,グラスシード,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,たべのこし,0812-00,ゴリランダー,,くさ,,一般,ノーマル,きあいのタスキ,1003-00,ディンルー,,あく,じめん,準伝説,みず,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード,0984-00,イダイナキバ,,じめん,かくとう,パラドックス,フェアリー,ブーストエナジー
8,2200.021,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,フェアリー,あつぞこブーツ,1003-00,ディンルー,,あく,じめん,準伝説,どく,たべのこし,0748-00,ドヒドイデ,,どく,みず,一般,くさ,ゴツゴツメット,0132-00,メタモン,,ノーマル,,一般,ノーマル,こだわりスカーフ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん
9,2199.936,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,とつげきチョッキ,0132-00,メタモン,,ノーマル,,一般,はがね,こだわりスカーフ,0903-00,オオニューラ,,かくとう,どく,一般,みず,エレキシード,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0934-00,キョジオーン,,いわ,,一般,ゴースト,たべのこし
10,2192.315,1003-00,ディンルー,,あく,じめん,準伝説,はがね,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,ゴツゴツメット,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,じめん,こだわりメガネ,1004-00,イーユイ,,あく,ほのお,準伝説,くさ,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,きあいのタスキ
11,2173.142,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ステラ,きあいのタスキ,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,シルクのスカーフ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,0212-00,ハッサム,,むし,はがね,一般,あく,たべのこし
12,2170.326,0450-00,カバルドン,,じめん,,一般,はがね,ゴツゴツメット,0903-00,オオニューラ,,かくとう,どく,一般,ひこう,エレキシード,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,とつげきチョッキ,1002-00,パオジアン,,あく,こおり,準伝説,こおり,こだわりハチマキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,じめん,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ
13,2167.152,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いかさまダイス,0911-00,ラウドボーン,,ほのお,ゴースト,一般,みず,たべのこし,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,どく,オボンのみ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,ノーマル,ブーストエナジー,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,じしゃく
14,2166.561,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,はがね,いかさまダイス,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,0132-00,メタモン,,ノーマル,,一般,ノーマル,きあいのタスキ,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ,0977-00,ヘイラッシャ,,みず,,一般,どく,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ゴースト,ひかりのこな
15,2162.337,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,こおり,とつげきチョッキ,0212-00,ハッサム,,むし,はがね,一般,あく,ゴツゴツメット,0903-00,オオニューラ,,かくとう,どく,一般,ステラ,きあいのタスキ,0450-00,カバルドン,,じめん,,一般,どく,たべのこし,0991-00,テツノツツミ,,こおり,みず,パラドックス,ステラ,いのちのたま,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,フェアリー,こだわりスカーフ
17,2159.687,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,じめん,たべのこし,0970-00,キラフロル,,いわ,どく,一般,くさ,パワフルハーブ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,でんき,ブーストエナジー,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,0472-00,グライオン,,じめん,ひこう,一般,じめん,きあいのタスキ
19,2156.874,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,たべのこし,0901-00,ガチグマ,,じめん,ノーマル,一般,みず,かえんだま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ,0380-00,ラティアス,,ドラゴン,エスパー,準伝説,どく,おんみつマント,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ
24,2153.493,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0212-00,ハッサム,,むし,はがね,一般,ノーマル,ゴツゴツメット,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,かくとう,こだわりスカーフ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ,0901-00,ガチグマ,,じめん,ノーマル,一般,フェアリー,かえんだま
25,2153.333,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,どく,パンチグローブ,0479-01,ロトム,ヒートロトム,でんき,ほのお,一般,はがね,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,ノーマル,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ
27,2149.272,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1002-00,パオジアン,,あく,こおり,準伝説,こおり,いのちのたま,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ
29,2147.031,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,どく,たべのこし,0474-00,ポリゴンＺ,,ノーマル,,一般,ノーマル,こだわりスカーフ,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,オボンのみ,0727-00,ガオガエン,,ほのお,あく,一般,みず,あつぞこブーツ,0812-00,ゴリランダー,,くさ,,一般,ノーマル,とつげきチョッキ,0036-00,ピクシー,,フェアリー,,一般,みず,いのちのたま
30,2145.713,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりスカーフ,0956-00,クエスパトラ,,エスパー,,一般,フェアリー,きあいのタスキ,0497-00,ジャローダ,,くさ,,一般,どく,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ステラ,いのちのたま,0594-00,ママンボウ,,みず,,一般,フェアリー,ゴツゴツメット,0901-00,ガチグマ,,じめん,ノーマル,一般,フェアリー,とつげきチョッキ
