順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
4,2049.263,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,クリアチャーム,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,しんぴのしずく,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,あく,とつげきチョッキ,0591-00,モロバレル,,くさ,どく,一般,ノーマル,おんみつマント,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,こだわりスカーフ
30,2003.69,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,おんみつマント,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま,0035-00,ピッピ,,フェアリー,,一般,くさ,しんかのきせき,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット
36,1977.991,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,たべのこし,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,きあいのタスキ
356,1811.015,0382-00,カイオーガ,,みず,,禁止伝説,くさ,たべのこし,0302-00,ヤミラミ,,あく,ゴースト,一般,ノーマル,オボンのみ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,ブーストエナジー,0235-00,ドーブル,,ノーマル,,一般,ゴースト,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ
363,1810.703,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,クリアチャーム,0993-00,テツノコウベ,,あく,ひこう,パラドックス,はがね,ブーストエナジー,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,じめん,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,くさ,とつげきチョッキ,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,ドラゴン,こだわりスカーフ,0977-00,ヘイラッシャ,,みず,,一般,くさ,たべのこし
410,1804.216,0908-00,マスカーニャ,,くさ,あく,一般,くさ,こだわりスカーフ,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,パワフルハーブ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,いのちのたま,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,ゴツゴツメット,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0637-00,ウルガモス,,むし,ほのお,一般,くさ,たべのこし
441,1801.34,0547-00,エルフーン,,くさ,フェアリー,一般,フェアリー,メンタルハーブ,0275-00,ダーテング,,くさ,あく,一般,ノーマル,いのちのたま,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりメガネ,0049-00,モルフォン,,むし,どく,一般,どく,きあいのタスキ,0779-00,ハギギシリ,,みず,エスパー,一般,ノーマル,しんぴのしずく,0302-00,ヤミラミ,,あく,ゴースト,一般,あく,ロゼルのみ
553,1775.756,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,こだわりスカーフ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,じめん,とつげきチョッキ,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,ゴツゴツメット,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,はがね,ブーストエナジー,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,きあいのタスキ
705,1752.979,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,パワーリスト,0324-00,コータス,,ほのお,,一般,ほのお,ひのたまプレート,0740-00,ケケンカニ,,かくとう,こおり,一般,ほのお,おんみつマント,0800-02,ネクロズマ,あかつきのつばさ,エスパー,ゴースト,禁止伝説,みず,いのちのたま
706,1752.779,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,ゴツゴツメット,0244-00,エンテイ,,ほのお,,準伝説,ノーマル,いのちのたま,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,きあいのタスキ,0547-00,エルフーン,,くさ,フェアリー,一般,ほのお,おんみつマント,0981-00,リキキリン,,ノーマル,エスパー,一般,ドラゴン,ぼうじんゴーグル
746,1748.655,0035-00,ピッピ,,フェアリー,,一般,みず,しんかのきせき,1002-00,パオジアン,,あく,こおり,準伝説,あく,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,1004-00,イーユイ,,あく,ほのお,準伝説,じめん,こだわりスカーフ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,とつげきチョッキ,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,クリアチャーム
