順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
14,1993.334,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,きあいのタスキ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,みず,くちたたて,1002-00,パオジアン,,あく,こおり,準伝説,みず,とつげきチョッキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,あく,ブーストエナジー,0591-00,モロバレル,,くさ,どく,一般,みず,メンタルハーブ
19,1985.197,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,きあいのタスキ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,ドラゴン,くちたたて,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,ブーストエナジー,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,あく,おんみつマント,1002-00,パオジアン,,あく,こおり,準伝説,どく,とつげきチョッキ
24,1979.983,0382-00,カイオーガ,,みず,,禁止伝説,むし,フォーカスレンズ,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりスカーフ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,みず,エレキシード,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ノーマル,きあいのタスキ,0145-00,サンダー,,でんき,ひこう,準伝説,みず,たべのこし,0727-00,ガオガエン,,ほのお,あく,一般,くさ,オボンのみ
36,1949.462,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,あく,きあいのタスキ,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ,0727-00,ガオガエン,,ほのお,あく,一般,むし,とつげきチョッキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット,0861-00,オーロンゲ,,あく,フェアリー,一般,じめん,おんみつマント
52,1925.842,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,こだわりメガネ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,ドラゴン,くちたたて,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,どく,ブーストエナジー,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,じめん,おんみつマント,0110-00,マタドガス,,どく,,一般,ノーマル,こだわりスカーフ,0591-00,モロバレル,,くさ,どく,一般,みず,メンタルハーブ
59,1921.31,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,こだわりスカーフ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,くさ,くちたたて,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,おんみつマント,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,みず,とつげきチョッキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,いのちのたま
64,1920.055,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,みず,くちたたて,0861-00,オーロンゲ,,あく,フェアリー,一般,ゴースト,おんみつマント,0637-00,ウルガモス,,むし,ほのお,一般,くさ,エレキシード,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,みず,いのちのたま,0132-00,メタモン,,ノーマル,,一般,ノーマル,きあいのタスキ
66,1920.026,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,あく,いのちのたま,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,こだわりメガネ,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,じめん,ぼうじんゴーグル,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,こだわりハチマキ,0547-00,エルフーン,,くさ,フェアリー,一般,あく,おんみつマント,0727-00,ガオガエン,,ほのお,あく,一般,みず,とつげきチョッキ
70,1919.214,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,きあいのタスキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,しろいハーブ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,くろいてっきゅう,0740-00,ケケンカニ,,かくとう,こおり,一般,あく,おんみつマント,0800-02,ネクロズマ,あかつきのつばさ,エスパー,ゴースト,禁止伝説,みず,パワフルハーブ
78,1916.062,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりメガネ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,フェアリー,たべのこし,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ,0727-00,ガオガエン,,ほのお,あく,一般,くさ,とつげきチョッキ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,みず,エレキシード
