順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2183.936,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりメガネ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,いかさまダイス,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ノーマル,こだわりハチマキ,0903-00,オオニューラ,,かくとう,どく,一般,あく,エレキシード,0990-00,テツノワダチ,,じめん,はがね,パラドックス,ノーマル,とつげきチョッキ,0132-00,メタモン,,ノーマル,,一般,はがね,きあいのタスキ
2,2159.127,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ノーマル,ゴツゴツメット,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ほのお,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,ノーマル,パワフルハーブ,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま
5,2143.304,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,たべのこし,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0903-00,オオニューラ,,かくとう,どく,一般,ひこう,エレキシード,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,おんみつマント,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ほのお,ゴツゴツメット
7,2136.324,1002-00,パオジアン,,あく,こおり,準伝説,ほのお,とけないこおり,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,きあいのタスキ,0934-00,キョジオーン,,いわ,,一般,くさ,たべのこし,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,オボンのみ
8,2133.384,0472-00,グライオン,,じめん,ひこう,一般,ノーマル,どくどくだま,0977-00,ヘイラッシャ,,みず,,一般,ノーマル,たべのこし,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,フェアリー,ゴツゴツメット,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,とつげきチョッキ,0970-00,キラフロル,,いわ,どく,一般,ノーマル,レッドカード,0812-00,ゴリランダー,,くさ,,一般,くさ,こだわりハチマキ
9,2131.715,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりメガネ,0383-00,グラードン,,じめん,,禁止伝説,ほのお,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,あく,ゴツゴツメット,1002-00,パオジアン,,あく,こおり,準伝説,あく,きあいのタスキ,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード
10,2130.949,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,フェアリー,こだわりスカーフ,0382-00,カイオーガ,,みず,,禁止伝説,フェアリー,とつげきチョッキ,1002-00,パオジアン,,あく,こおり,準伝説,こおり,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ノーマル,こだわりメガネ,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,0980-00,ドオー,,どく,じめん,一般,ノーマル,たべのこし
12,2125.423,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,きあいのタスキ,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,ノーマル,くちたけん,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0934-00,キョジオーン,,いわ,,一般,ほのお,たべのこし,1002-00,パオジアン,,あく,こおり,準伝説,でんき,いのちのたま
16,2111.036,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,フェアリー,こだわりハチマキ,0890-00,ムゲンダイナ,,どく,ドラゴン,禁止伝説,ドラゴン,こだわりメガネ,0977-00,ヘイラッシャ,,みず,,一般,ほのお,たべのこし,0113-00,ラッキー,,ノーマル,,一般,じめん,しんかのきせき,0472-00,グライオン,,じめん,ひこう,一般,あく,どくどくだま,0089-01,ベトベトン,アローラのすがた,どく,あく,一般,ノーマル,くろいヘドロ
19,2103.366,0448-00,ルカリオ,,かくとう,はがね,一般,ゴースト,きあいのタスキ,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,みず,くちたけん,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1002-00,パオジアン,,あく,こおり,準伝説,ほのお,いのちのたま,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ
22,2095.596,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,たべのこし,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ひこう,こだわりハチマキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード,0903-00,オオニューラ,,かくとう,どく,一般,ひこう,エレキシード
23,2095.189,0132-00,メタモン,,ノーマル,,一般,ノーマル,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,フェアリー,ふうせん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,じめん,こだわりハチマキ,0250-00,ホウオウ,,ほのお,ひこう,禁止伝説,フェアリー,たべのこし,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ
26,2086.504,0382-00,カイオーガ,,みず,,禁止伝説,でんき,とつげきチョッキ,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,ノーマル,くちたけん,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ
27,2084.657,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,こだわりスカーフ,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,フェアリー,ゴツゴツメット,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ,1004-00,イーユイ,,あく,ほのお,準伝説,ほのお,こだわりメガネ,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,みず,オボンのみ
28,2083.637,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,きあいのタスキ,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,たべのこし,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ほのお,ゴツゴツメット,1002-00,パオジアン,,あく,こおり,準伝説,ほのお,くろいメガネ,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,1003-00,ディンルー,,あく,じめん,準伝説,どく,オボンのみ
29,2082.062,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,ノーマル,くちたけん,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,みず,とつげきチョッキ,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,みず,ゴツゴツメット,0901-00,ガチグマ,,じめん,ノーマル,一般,ほのお,かえんだま,0132-00,メタモン,,ノーマル,,一般,はがね,こだわりスカーフ,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,みず,たべのこし
30,2081.48,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,たべのこし,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,みず,ゴツゴツメット,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0903-00,オオニューラ,,かくとう,どく,一般,ひこう,エレキシード,1003-00,ディンルー,,あく,じめん,準伝説,ひこう,カゴのみ
31,2080.59,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,きあいのタスキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,みず,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ゴースト,ゴツゴツメット,1023-00,テツノカシラ,,はがね,エスパー,準伝説,いわ,ふうせん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ,1003-00,ディンルー,,あく,じめん,準伝説,どく,とつげきチョッキ
32,2078.999,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,でんき,とつげきチョッキ,0472-00,グライオン,,じめん,ひこう,一般,ノーマル,きあいのタスキ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,じめん,こだわりハチマキ,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,たべのこし,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ノーマル,いのちのたま
34,2076.713,0890-00,ムゲンダイナ,,どく,ドラゴン,禁止伝説,ほのお,パワフルハーブ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,たべのこし,1003-00,ディンルー,,あく,じめん,準伝説,ほのお,オボンのみ,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,ひこう,いどのめん,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ノーマル,ゴツゴツメット,0132-00,メタモン,,ノーマル,,一般,ノーマル,こだわりスカーフ
43,2066.683,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,きあいのタスキ,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ほのお,オボンのみ,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,0970-00,キラフロル,,いわ,どく,一般,フェアリー,レッドカード,0812-00,ゴリランダー,,くさ,,一般,ノーマル,とつげきチョッキ,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,ひかりのねんど
44,2066.602,0382-00,カイオーガ,,みず,,禁止伝説,フェアリー,こだわりメガネ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,たべのこし,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,どく,パンチグローブ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,0980-00,ドオー,,どく,じめん,一般,ノーマル,オボンのみ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ
45,2065.513,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,こだわりメガネ,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,ノーマル,くちたけん,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ,0977-00,ヘイラッシャ,,みず,,一般,ほのお,たべのこし,1002-00,パオジアン,,あく,こおり,準伝説,ステラ,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,どく,おんみつマント
