順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
6,2030.947,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりメガネ,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,フェアリー,いのちのたま,0779-00,ハギギシリ,,みず,エスパー,一般,ステラ,きあいのタスキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,ドラゴン,ゴツゴツメット,0212-00,ハッサム,,むし,はがね,一般,はがね,こだわりハチマキ
8,2027.377,0890-00,ムゲンダイナ,,どく,ドラゴン,禁止伝説,ノーマル,こだわりメガネ,0981-00,リキキリン,,ノーマル,エスパー,一般,はがね,ゴツゴツメット,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,フェアリー,いのちのたま
9,2022.731,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,あく,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,パンチグローブ,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,みず,くちたけん,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ゴースト,きあいのタスキ,0591-00,モロバレル,,くさ,どく,一般,みず,オッカのみ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット
16,2009.653,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,フェアリー,つららのプレート,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ,0279-00,ペリッパー,,みず,ひこう,一般,じめん,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,みず,ゴツゴツメット,0591-00,モロバレル,,くさ,どく,一般,みず,メンタルハーブ
20,2005.341,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,くさ,きあいのタスキ,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,こだわりスカーフ,1002-00,パオジアン,,あく,こおり,準伝説,あく,こだわりハチマキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,しんぴのしずく,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,オボンのみ,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット
24,2001.658,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりメガネ,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ゴースト,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ノーマル,いのちのたま,0637-00,ウルガモス,,むし,ほのお,一般,みず,ゴツゴツメット
64,1941.035,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりメガネ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ゴースト,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ,0904-00,ハリーマン,,あく,どく,一般,どく,こだわりハチマキ,0763-00,アマージョ,,くさ,,一般,ほのお,こうかくレンズ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,ほのお,とつげきチョッキ
113,1916.252,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,くさ,くちたたて,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,こだわりスカーフ,0279-00,ペリッパー,,みず,ひこう,一般,くさ,おんみつマント,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,とつげきチョッキ,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット
122,1912.136,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,おんみつマント,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,みず,ゴツゴツメット,0994-00,テツノドクガ,,ほのお,どく,パラドックス,くさ,パワフルハーブ,0903-00,オオニューラ,,かくとう,どく,一般,ステラ,エレキシード,0488-00,クレセリア,,エスパー,,準伝説,あく,ぼうじんゴーグル
182,1886.047,0888-00,ザシアン,れきせんのゆうしゃ,フェアリー,,禁止伝説,ノーマル,くちたけん,0752-00,オニシズクモ,,みず,むし,一般,くさ,クリアチャーム,0970-00,キラフロル,,いわ,どく,一般,くさ,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,ブーストエナジー,0897-00,レイスポス,,ゴースト,,準伝説,あく,たべのこし
219,1871.202,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりメガネ,0547-00,エルフーン,,くさ,フェアリー,一般,ノーマル,きあいのタスキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ぼうじんゴーグル,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,こだわりスカーフ,0464-00,ドサイドン,,じめん,いわ,一般,フェアリー,クリアチャーム
240,1865.202,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,きあいのタスキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0324-00,コータス,,ほのお,,一般,ゴースト,もくたん,0740-00,ケケンカニ,,かくとう,こおり,一般,あく,おんみつマント,0800-02,ネクロズマ,あかつきのつばさ,エスパー,ゴースト,禁止伝説,ノーマル,ぼうじんゴーグル
259,1859.515,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ノーマル,クリアチャーム,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,はがね,ブーストエナジー,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,きあいのタスキ,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま,0905-01,ラブトロス,れいじゅうフォルム,フェアリー,ひこう,準伝説,フェアリー,こだわりメガネ
390,1827.646,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりメガネ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ゴースト,きあいのタスキ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,どく,いのちのたま,0763-00,アマージョ,,くさ,,一般,こおり,こうかくレンズ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,くさ,とつげきチョッキ
535,1807.087,0173-00,ピィ,,フェアリー,,一般,フェアリー,イバンのみ,0035-00,ピッピ,,フェアリー,,一般,フェアリー,しんかのきせき,0036-00,ピクシー,,フェアリー,,一般,みず,ゴツゴツメット,0039-00,プリン,,ノーマル,フェアリー,一般,ノーマル,きあいのタスキ,0985-00,サケブシッポ,,フェアリー,エスパー,パラドックス,フェアリー,ブーストエナジー,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,おんみつマント
549,1805.349,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,こだわりスカーフ,1005-00,トドロクツキ,,ドラゴン,あく,パラドックス,ひこう,ブーストエナジー,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,きあいのタスキ,1004-00,イーユイ,,あく,ほのお,準伝説,くさ,おんみつマント,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,とつげきチョッキ
553,1805.05,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,いのちのたま,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,おんみつマント,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ
577,1802.846,0889-00,ザマゼンタ,れきせんのゆうしゃ,かくとう,,禁止伝説,ゴースト,くちたたて,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,みず,ゴツゴツメット,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,こだわりスカーフ,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,みず,ぼうじんゴーグル,1003-00,ディンルー,,あく,じめん,準伝説,みず,とつげきチョッキ
805,1773.251,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,0279-00,ペリッパー,,みず,ひこう,一般,くさ,マゴのみ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ノーマル,じゃくてんほけん,0035-00,ピッピ,,フェアリー,,一般,くさ,しんかのきせき
