順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
5,2021.766,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,フェアリー,のろいのおふだ,0035-00,ピッピ,,フェアリー,,一般,みず,しんかのきせき,0861-00,オーロンゲ,,あく,フェアリー,一般,くさ,おんみつマント,0727-00,ガオガエン,,ほのお,あく,一般,みず,ゴツゴツメット,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,とつげきチョッキ,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん
8,2016.235,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,いのちのたま,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,どく,こだわりハチマキ,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,みず,とつげきチョッキ,0981-00,リキキリン,,ノーマル,エスパー,一般,みず,エレキシード
29,1966.162,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,こだわりハチマキ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ゴースト,こうかくレンズ,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,みず,まがったスプーン
35,1936.713,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,おんみつマント,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,しずくプレート,0727-00,ガオガエン,,ほのお,あく,一般,くさ,とつげきチョッキ,0488-00,クレセリア,,エスパー,,準伝説,ノーマル,オボンのみ,0302-00,ヤミラミ,,あく,ゴースト,一般,ノーマル,ひかりのねんど
44,1927.405,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりメガネ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ゴースト,くろいメガネ,0977-00,ヘイラッシャ,,みず,,一般,じめん,こだわりハチマキ,0978-02,シャリタツ,のびたすがた,ドラゴン,みず,一般,ノーマル,こだわりスカーフ
51,1923.568,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,フェアリー,たべのこし,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,ブーストエナジー,0970-00,キラフロル,,いわ,どく,一般,みず,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,おんみつマント,1004-00,イーユイ,,あく,ほのお,準伝説,ほのお,こだわりスカーフ
75,1913.082,0089-01,ベトベトン,アローラのすがた,どく,あく,一般,どく,くろいヘドロ,0235-00,ドーブル,,ノーマル,,一般,じめん,きあいのタスキ,0973-00,カラミンゴ,,ひこう,かくとう,一般,はがね,しろいハーブ,0890-00,ムゲンダイナ,,どく,ドラゴン,禁止伝説,ほのお,とつげきチョッキ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,ゴースト,どくどくだま
83,1910.225,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ゴースト,きあいのタスキ,0547-00,エルフーン,,くさ,フェアリー,一般,ほのお,メンタルハーブ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりスカーフ,0977-00,ヘイラッシャ,,みず,,一般,じめん,おんみつマント,0978-01,シャリタツ,たれたすがた,ドラゴン,みず,一般,みず,とくせいガード
93,1906.057,0382-00,カイオーガ,,みず,,禁止伝説,みず,こだわりメガネ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,あく,きあいのタスキ,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,みず,いのちのたま,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,ブーストエナジー,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,はがね,とつげきチョッキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,ドラゴン,ゴツゴツメット
280,1827.642,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,フェアリー,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,きあいのタスキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,いのちのたま,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,0645-00,ランドロス,けしんフォルム,じめん,ひこう,準伝説,ゴースト,こだわりスカーフ,0279-00,ペリッパー,,みず,ひこう,一般,じめん,とくせいガード
