順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2229.803,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,こおり,こだわりハチマキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,ステラ,こだわりメガネ,1004-00,イーユイ,,あく,ほのお,準伝説,フェアリー,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,ドラゴン,オボンのみ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー
2,2229.634,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,ゴースト,きあいのタスキ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,フェアリー,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,オボンのみ
3,2224.831,1004-00,イーユイ,,あく,ほのお,準伝説,フェアリー,こだわりスカーフ,1002-00,パオジアン,,あく,こおり,準伝説,でんき,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ステラ,きあいのタスキ,0591-00,モロバレル,,くさ,どく,一般,はがね,だっしゅつパック,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ
4,2222.487,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,どく,パンチグローブ,0970-00,キラフロル,,いわ,どく,一般,くさ,とつげきチョッキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ゴツゴツメット,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし
6,2221.137,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,0149-00,カイリュー,,ドラゴン,ひこう,一般,でんき,クリアチャーム,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0934-00,キョジオーン,,いわ,,一般,どく,たべのこし,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん
7,2220.127,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,みず,ゴツゴツメット,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー
8,2217.446,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,あつぞこブーツ,0594-00,ママンボウ,,みず,,一般,どく,とつげきチョッキ,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,0861-00,オーロンゲ,,あく,フェアリー,一般,ほのお,たべのこし,0591-00,モロバレル,,くさ,どく,一般,フェアリー,だっしゅつパック,1004-00,イーユイ,,あく,ほのお,準伝説,フェアリー,ジャポのみ
10,2208.764,1002-00,パオジアン,,あく,こおり,準伝説,あく,こだわりハチマキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,こだわりメガネ,0594-00,ママンボウ,,みず,,一般,どく,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,ノーマル,おんみつマント,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ひこう,こだわりスカーフ,0591-00,モロバレル,,くさ,どく,一般,フェアリー,だっしゅつパック
11,2197.771,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,はがね,オボンのみ,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,きあいのタスキ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,パンチグローブ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,フェアリー,ウイのみ,0380-00,ラティアス,,ドラゴン,エスパー,準伝説,はがね,こだわりメガネ
12,2196.901,0149-00,カイリュー,,ドラゴン,ひこう,一般,じめん,クリアチャーム,1000-00,サーフゴー,,はがね,ゴースト,一般,みず,ゴツゴツメット,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ほのお,オボンのみ,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,はがね,ひかりのねんど,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ
