順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
6,2067.551,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,こだわりスカーフ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,はがね,おんみつマント,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,ゴースト,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,くさ,とつげきチョッキ,0059-01,ウインディ,ヒスイのすがた,ほのお,いわ,一般,フェアリー,こだわりハチマキ
23,2033.73,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,くさ,ブーストエナジー,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0970-00,キラフロル,,いわ,どく,一般,みず,きあいのタスキ
26,2019.715,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,1016-00,キチキギス,,どく,フェアリー,準伝説,ゴースト,オボンのみ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,ブーストエナジー,1004-00,イーユイ,,あく,ほのお,準伝説,ゴースト,きあいのタスキ,0645-01,ランドロス,れいじゅうフォルム,じめん,ひこう,準伝説,ひこう,ぼうじんゴーグル,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
29,2015.389,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,どく,とつげきチョッキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ほのお,ゴツゴツメット,0059-01,ウインディ,ヒスイのすがた,ほのお,いわ,一般,ノーマル,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,みず,たべのこし,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー
32,2010.893,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,まがったスプーン,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,サイコシード,0858-00,ブリムオン,,エスパー,フェアリー,一般,みず,オボンのみ,0549-01,ドレディア,ヒスイのすがた,くさ,かくとう,一般,ゴースト,きあいのタスキ,0324-00,コータス,,ほのお,,一般,ほのお,こだわりメガネ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,こだわりハチマキ
72,1952.604,0700-00,ニンフィア,,フェアリー,,一般,みず,こだわりメガネ,0903-00,オオニューラ,,かくとう,どく,一般,どく,オボンのみ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,はがね,メンタルハーブ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0279-00,ペリッパー,,みず,ひこう,一般,はがね,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,どく,ゴツゴツメット
94,1940.551,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ゴースト,ジャポのみ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,みず,ブーストエナジー,0981-00,リキキリン,,ノーマル,エスパー,一般,フェアリー,オボンのみ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,ほのお,いのちのたま,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん
125,1917.916,0985-00,サケブシッポ,,フェアリー,エスパー,パラドックス,フェアリー,ブーストエナジー,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,いのちのたま,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0936-00,グレンアルマ,,ほのお,エスパー,一般,エスパー,きあいのタスキ,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
144,1906.456,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0903-00,オオニューラ,,かくとう,どく,一般,いわ,サイコシード,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0324-00,コータス,,ほのお,,一般,ほのお,もくたん,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,こだわりスカーフ,0700-00,ニンフィア,,フェアリー,,一般,ほのお,こだわりメガネ
167,1887.173,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,くろいメガネ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ゴースト,きあいのタスキ,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ひこう,たつじんのおび,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,1002-00,パオジアン,,あく,こおり,準伝説,ゴースト,いのちのたま,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ
