順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2415.819,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,ゴツゴツメット,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,たべのこし
2,2411.032,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,こだわりメガネ,0959-00,デカヌチャン,,フェアリー,はがね,一般,ひこう,ふうせん,0970-00,キラフロル,,いわ,どく,一般,どく,きあいのタスキ,0914-00,ウェーニバル,,みず,かくとう,一般,くさ,ゴツゴツメット,0911-00,ラウドボーン,,ほのお,ゴースト,一般,ノーマル,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,たべのこし
3,2407.309,0998-00,セグレイブ,,ドラゴン,こおり,一般,でんき,いかさまダイス,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,フェアリー,こだわりメガネ,0983-00,ドドゲザン,,あく,はがね,一般,ひこう,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ほのお,いのちのたま,0911-00,ラウドボーン,,ほのお,ゴースト,一般,くさ,とつげきチョッキ
4,2399.255,0279-00,ペリッパー,,みず,ひこう,一般,くさ,ラムのみ,0964-00,イルカマン,ナイーブフォルム,みず,,一般,みず,こだわりハチマキ,0959-00,デカヌチャン,,フェアリー,はがね,一般,ノーマル,ふうせん,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,たべのこし,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,ほのお,おんみつマント
5,2393.488,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,ゴツゴツメット,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,たべのこし
6,2390.94,0979-00,コノヨザル,,かくとう,ゴースト,一般,はがね,でんきだま,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,ゴツゴツメット,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,たべのこし,1000-00,サーフゴー,,はがね,ゴースト,一般,ゴースト,ふうせん,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,こおり,きあいのタスキ
7,2384.575,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ドラゴン,こだわりメガネ,0823-00,アーマーガア,,ひこう,はがね,一般,かくとう,オボンのみ,0980-00,ドオー,,どく,じめん,一般,あく,おんみつマント,0934-00,キョジオーン,,いわ,,一般,フェアリー,たべのこし,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,こおり,とつげきチョッキ
8,2376.65,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,あつぞこブーツ,1000-00,サーフゴー,,はがね,ゴースト,一般,ノーマル,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,0983-00,ドドゲザン,,あく,はがね,一般,ひこう,メンタルハーブ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,フェアリー,たべのこし
10,2375.794,0934-00,キョジオーン,,いわ,,一般,ひこう,おんみつマント,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,こだわりハチマキ,0998-00,セグレイブ,,ドラゴン,こおり,一般,こおり,いかさまダイス,0637-00,ウルガモス,,むし,ほのお,一般,くさ,あつぞこブーツ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,はがね,たべのこし
11,2366.784,0445-00,ガブリアス,,ドラゴン,じめん,一般,でんき,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,ゴツゴツメット,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,たべのこし,0983-00,ドドゲザン,,あく,はがね,一般,フェアリー,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,あく,こだわりメガネ,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,こだわりスカーフ
12,2365.68,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,するどいくちばし,0998-00,セグレイブ,,ドラゴン,こおり,一般,こおり,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ゴースト,カムラのみ,0637-00,ウルガモス,,むし,ほのお,一般,ほのお,こだわりメガネ,0823-00,アーマーガア,,ひこう,はがね,一般,ひこう,ゴツゴツメット
13,2362.004,0450-00,カバルドン,,じめん,,一般,くさ,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,ゴツゴツメット,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,たべのこし,0964-00,イルカマン,ナイーブフォルム,みず,,一般,かくとう,こだわりハチマキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,かくとう,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ
14,2357.865,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,こだわりハチマキ,0908-00,マスカーニャ,,くさ,あく,一般,くさ,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,ゴツゴツメット,0911-00,ラウドボーン,,ほのお,ゴースト,一般,フェアリー,たべのこし,0977-00,ヘイラッシャ,,みず,,一般,あく,とつげきチョッキ
15,2356.926,0094-00,ゲンガー,,ゴースト,どく,一般,フェアリー,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,0977-00,ヘイラッシャ,,みず,,一般,じめん,オボンのみ,0979-00,コノヨザル,,かくとう,ゴースト,一般,ノーマル,でんきだま,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ほのお,いのちのたま
16,2355.571,0998-00,セグレイブ,,ドラゴン,こおり,一般,でんき,いのちのたま,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ゴースト,こだわりスカーフ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,0977-00,ヘイラッシャ,,みず,,一般,じめん,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,ひかりのこな
17,2355.399,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,ゴツゴツメット,0983-00,ドドゲザン,,あく,はがね,一般,あく,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ノーマル,こだわりスカーフ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,みず,たべのこし,0286-00,キノガッサ,,くさ,かくとう,一般,フェアリー,どくどくだま
18,2352.502,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,こだわりハチマキ,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ,0635-00,サザンドラ,,あく,ドラゴン,一般,フェアリー,たべのこし,0979-00,コノヨザル,,かくとう,ゴースト,一般,ノーマル,オボンのみ,0936-00,グレンアルマ,,ほのお,エスパー,一般,ノーマル,きあいのタスキ,0282-00,サーナイト,,エスパー,フェアリー,一般,フェアリー,こだわりスカーフ
20,2347.085,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ノーマル,こだわりメガネ,0934-00,キョジオーン,,いわ,,一般,はがね,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,するどいくちばし,0132-00,メタモン,,ノーマル,,一般,フェアリー,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,あく,くろいメガネ
