順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
11,1935.588,0792-00,ルナアーラ,,エスパー,ゴースト,禁止伝説,フェアリー,メンタルハーブ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,みず,ゴツゴツメット,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ステラ,きあいのタスキ,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,とつげきチョッキ,1002-00,パオジアン,,あく,こおり,準伝説,くさ,おんみつマント,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん
27,1902.283,0547-00,エルフーン,,くさ,フェアリー,一般,あく,おんみつマント,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,くさ,パワフルハーブ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,ゴースト,こだわりハチマキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,フェアリー,たべのこし,0382-00,カイオーガ,,みず,,禁止伝説,ゴースト,いのちのたま
46,1869.046,0641-00,トルネロス,けしんフォルム,ひこう,,準伝説,ゴースト,きあいのタスキ,0383-00,グラードン,,じめん,,禁止伝説,ほのお,クリアチャーム,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,フェアリー,こだわりメガネ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0986-00,アラブルタケ,,くさ,あく,パラドックス,みず,おんみつマント,1021-00,タケルライコ,,でんき,ドラゴン,準伝説,でんき,とつげきチョッキ
117,1821.946,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ノーマル,おんみつマント,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,きあいのタスキ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,サイコシード
151,1807.443,0282-00,サーナイト,,エスパー,フェアリー,一般,フェアリー,こだわりメガネ,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,じしゃく,0992-00,テツノカイナ,,かくとう,でんき,パラドックス,くさ,とつげきチョッキ,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,ひかりのねんど,0873-00,モスノウ,,こおり,むし,一般,みず,たべのこし
172,1801.83,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,あく,のろいのおふだ,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,くさ,ゴツゴツメット,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0978-01,シャリタツ,たれたすがた,ドラゴン,みず,一般,ドラゴン,ぼうじんゴーグル,0110-01,マタドガス,ガラルのすがた,どく,フェアリー,一般,じめん,きあいのタスキ,0473-00,マンムー,,こおり,じめん,一般,フェアリー,とつげきチョッキ
293,1766.443,0800-01,ネクロズマ,たそがれのたてがみ,エスパー,はがね,禁止伝説,みず,クリアチャーム,0895-00,レジドラゴ,,ドラゴン,,準伝説,ゴースト,りゅうのキバ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,くさ,こだわりハチマキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0993-00,テツノコウベ,,あく,ひこう,パラドックス,じめん,ブーストエナジー,1017-00,オーガポン,みどりのめん,くさ,,準伝説,くさ,きあいのタスキ
321,1759.871,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,パワフルハーブ,0547-00,エルフーン,,くさ,フェアリー,一般,フェアリー,きあいのタスキ,0990-00,テツノワダチ,,じめん,はがね,パラドックス,じめん,いのちのたま,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0591-00,モロバレル,,くさ,どく,一般,どく,オボンのみ
337,1756.663,0196-00,エーフィ,,エスパー,,一般,エスパー,こだわりスカーフ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0547-00,エルフーン,,くさ,フェアリー,一般,くさ,きあいのタスキ,0892-00,ウーラオス,いちげきのかた,かくとう,あく,準伝説,あく,おんみつマント,1017-01,オーガポン,いどのめん,くさ,みず,準伝説,みず,いどのめん,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりメガネ
360,1753.526,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,きあいのタスキ,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0324-00,コータス,,ほのお,,一般,ゴースト,もくたん,0858-00,ブリムオン,,エスパー,フェアリー,一般,みず,おんみつマント,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,くさ,クリアチャーム
375,1750.894,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,きあいのタスキ,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,こだわりハチマキ,0324-00,コータス,,ほのお,,一般,ゴースト,もくたん,0740-00,ケケンカニ,,かくとう,こおり,一般,あく,おんみつマント,0800-02,ネクロズマ,あかつきのつばさ,エスパー,ゴースト,禁止伝説,みず,いのちのたま
383,1749.363,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,でんき,こだわりスカーフ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,しんぴのしずく,0991-00,テツノツツミ,,こおり,みず,パラドックス,ゴースト,きあいのタスキ,0244-00,エンテイ,,ほのお,,準伝説,くさ,とつげきチョッキ,0248-00,バンギラス,,いわ,あく,一般,みず,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ぼうじんゴーグル
386,1748.782,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,でんき,とつげきチョッキ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,こだわりスカーフ,0279-00,ペリッパー,,みず,ひこう,一般,ゴースト,きあいのタスキ,1017-00,オーガポン,みどりのめん,くさ,,準伝説,くさ,いかさまダイス,0981-00,リキキリン,,ノーマル,エスパー,一般,みず,ゴツゴツメット,0861-00,オーロンゲ,,あく,フェアリー,一般,ゴースト,ひかりのねんど
394,1746.231,0800-01,ネクロズマ,たそがれのたてがみ,エスパー,はがね,禁止伝説,じめん,とつげきチョッキ,0895-00,レジドラゴ,,ドラゴン,,準伝説,ゴースト,いのちのたま,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,みず,ゴツゴツメット,0979-00,コノヨザル,,かくとう,ゴースト,一般,ステラ,きあいのタスキ,0547-00,エルフーン,,くさ,フェアリー,一般,あく,おんみつマント,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いかさまダイス
504,1731.187,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,ステラ,こだわりスカーフ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,サイコシード,0901-00,ガチグマ,,じめん,ノーマル,一般,ノーマル,かえんだま,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,ノーマル,メンタルハーブ,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,きあいのタスキ,0485-00,ヒードラン,,ほのお,はがね,準伝説,むし,いのちのたま
576,1720.474,1007-00,コライドン,,かくとう,ドラゴン,禁止伝説,ゴースト,こだわりハチマキ,0987-00,ハバタクカミ,,ゴースト,フェアリー,パラドックス,ノーマル,きあいのタスキ,1009-00,ウネルミナモ,,みず,ドラゴン,準伝説,みず,こだわりメガネ,1004-00,イーユイ,,あく,ほのお,準伝説,ほのお,こだわりスカーフ,0812-00,ゴリランダー,,くさ,,一般,みず,とつげきチョッキ,0035-00,ピッピ,,フェアリー,,一般,はがね,しんかのきせき
657,1713.539,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ゴースト,シルクのスカーフ,1023-00,テツノカシラ,,はがね,エスパー,準伝説,じめん,ブーストエナジー,0235-00,ドーブル,,ノーマル,,一般,あく,きあいのタスキ,0898-01,バドレックス,はくばじょうのすがた,エスパー,こおり,禁止伝説,ほのお,クリアチャーム,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ノーマル,メンタルハーブ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,ゴツゴツメット
736,1707.42,0898-02,バドレックス,こくばじょうのすがた,エスパー,ゴースト,禁止伝説,かくとう,いのちのたま,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,ゴースト,しんぴのしずく,0979-00,コノヨザル,,かくとう,ゴースト,一般,でんき,こだわりスカーフ,0547-00,エルフーン,,くさ,フェアリー,一般,あく,おんみつマント,0113-00,ラッキー,,ノーマル,,一般,ドラゴン,しんかのきせき,0977-00,ヘイラッシャ,,みず,,一般,はがね,タラプのみ
742,1707.249,0487-01,ギラティナ,オリジンフォルム,ゴースト,ドラゴン,禁止伝説,はがね,だいはっきんだま,0970-00,キラフロル,,いわ,どく,一般,くさ,きあいのタスキ,1006-00,テツノブジン,,フェアリー,かくとう,パラドックス,はがね,ブーストエナジー,1017-02,オーガポン,かまどのめん,くさ,ほのお,準伝説,ほのお,かまどのめん,1003-00,ディンルー,,あく,じめん,準伝説,フェアリー,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,こだわりスカーフ
749,1706.925,0053-00,ペルシアン,,ノーマル,,一般,ノーマル,きあいのタスキ,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,みず,ゴツゴツメット,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,とつげきチョッキ,0981-00,リキキリン,,ノーマル,エスパー,一般,フェアリー,オボンのみ,0398-00,ムクホーク,,ノーマル,ひこう,一般,ひこう,こだわりスカーフ,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,こだわりメガネ
842,1701.304,1008-00,ミライドン,,でんき,ドラゴン,禁止伝説,フェアリー,こだわりメガネ,0547-00,エルフーン,,くさ,フェアリー,一般,あく,とくせいガード,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,ゴツゴツメット,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,きあいのタスキ,1010-00,テツノイサハ,,くさ,エスパー,準伝説,ノーマル,ブーストエナジー,0983-00,ドドゲザン,,あく,はがね,一般,フェアリー,とつげきチョッキ
958,1693.755,1024-00,テラパゴス,ノーマルフォルム,ノーマル,,禁止伝説,ステラ,パワフルハーブ,0637-00,ウルガモス,,むし,ほのお,一般,みず,ゴツゴツメット,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ぼうじんゴーグル,0892-01,ウーラオス,れんげきのかた,かくとう,みず,準伝説,みず,しんぴのしずく,1017-03,オーガポン,いしずえのめん,くさ,いわ,準伝説,いわ,いしずえのめん,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ
