順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2202.011,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0908-00,マスカーニャ,,くさ,あく,一般,あく,こうかくレンズ,0977-00,ヘイラッシャ,,みず,,一般,はがね,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,ほのお,だっしゅつパック,1000-00,サーフゴー,,はがね,ゴースト,一般,フェアリー,ふうせん,0233-00,ポリゴン２,,ノーマル,,一般,ゴースト,しんかのきせき
4,2165.407,0212-00,ハッサム,,むし,はがね,一般,ひこう,あおぞらプレート,0233-00,ポリゴン２,,ノーマル,,一般,ゴースト,しんかのきせき,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,ふうせん,0445-00,ガブリアス,,ドラゴン,じめん,一般,ほのお,いのちのたま,0903-00,オオニューラ,,かくとう,どく,一般,ほのお,だっしゅつパック,0977-00,ヘイラッシャ,,みず,,一般,あく,たべのこし
6,2159.366,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,いかさまダイス,0730-00,アシレーヌ,,みず,フェアリー,一般,くさ,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,くさ,あつぞこブーツ,0970-00,キラフロル,,いわ,どく,一般,フェアリー,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ
7,2158.512,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,いかさまダイス,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,ゴースト,いのちのたま,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,パワフルハーブ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,あつぞこブーツ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ
8,2156.283,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,だっしゅつパック,0911-00,ラウドボーン,,ほのお,ゴースト,一般,みず,おんみつマント,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ゴースト,とつげきチョッキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,フェアリー,オボンのみ
9,2154.818,0903-00,オオニューラ,,かくとう,どく,一般,ほのお,だっしゅつパック,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ゴースト,のろいのおふだ,0823-00,アーマーガア,,ひこう,はがね,一般,ステラ,オボンのみ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ゴースト,とつげきチョッキ,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,0450-00,カバルドン,,じめん,,一般,みず,たべのこし
10,2151.984,1018-00,ブリジュラス,,はがね,ドラゴン,一般,フェアリー,イバンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ドラゴン,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,ほのお,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,フェアリー,とつげきチョッキ,0497-00,ジャローダ,,くさ,,一般,みず,オボンのみ,0472-00,グライオン,,じめん,ひこう,一般,フェアリー,どくどくだま
11,2148.415,0445-00,ガブリアス,,ドラゴン,じめん,一般,はがね,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ひこう,パワフルハーブ,0730-00,アシレーヌ,,みず,フェアリー,一般,ひこう,オボンのみ,0637-00,ウルガモス,,むし,ほのお,一般,くさ,ラムのみ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,はがね,シュカのみ
14,2145.483,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,おんみつマント,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,メタルコート,0908-00,マスカーニャ,,くさ,あく,一般,くさ,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,みず,ラムのみ,0903-00,オオニューラ,,かくとう,どく,一般,はがね,ふうせん,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,フェアリー,たべのこし
15,2131.953,0472-00,グライオン,,じめん,ひこう,一般,はがね,どくどくだま,0594-00,ママンボウ,,みず,,一般,はがね,とつげきチョッキ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,0903-00,オオニューラ,,かくとう,どく,一般,ステラ,きあいのタスキ,1000-00,サーフゴー,,はがね,ゴースト,一般,フェアリー,ふうせん
