順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2137.576,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,いかさまダイス,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0128-03,ケンタロス,パルデアのすがた・ウォーターしゅ,かくとう,みず,一般,くさ,ものまねハーブ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ゴースト,パワフルハーブ,0279-00,ペリッパー,,みず,ひこう,一般,くさ,おんみつマント,0983-00,ドドゲザン,,あく,はがね,一般,あく,きあいのタスキ
2,2137.168,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,ゴースト,サイコシード,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,パワフルハーブ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,いのちのたま,0324-00,コータス,,ほのお,,一般,ほのお,もくたん,0549-01,ドレディア,ヒスイのすがた,くさ,かくとう,一般,ゴースト,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス
10,2081.12,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,いかさまダイス,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,でんき,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,ステラ,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,オボンのみ,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ
18,2060.828,0663-00,ファイアロー,,ほのお,ひこう,一般,ゴースト,おんみつマント,0637-00,ウルガモス,,むし,ほのお,一般,ほのお,こだわりメガネ,0812-00,ゴリランダー,,くさ,,一般,くさ,とつげきチョッキ,0903-00,オオニューラ,,かくとう,どく,一般,あく,グラスシード,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,あく,ぼうじんゴーグル
22,2053.587,0784-00,ジャラランガ,,ドラゴン,かくとう,一般,ゴースト,こだわりメガネ,0248-00,バンギラス,,いわ,あく,一般,ひこう,こだわりスカーフ,0530-00,ドリュウズ,,じめん,はがね,一般,ゴースト,きあいのタスキ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,くさ,とつげきチョッキ,0823-00,アーマーガア,,ひこう,はがね,一般,ドラゴン,オボンのみ,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,フェアリー,サイコシード
36,2019.345,0549-01,ドレディア,ヒスイのすがた,くさ,かくとう,一般,こおり,こうかくレンズ,0324-00,コータス,,ほのお,,一般,ほのお,せんせいのツメ,0936-00,グレンアルマ,,ほのお,エスパー,一般,ステラ,きあいのタスキ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,ほのお,ゴツゴツメット,0903-00,オオニューラ,,かくとう,どく,一般,あく,サイコシード,0350-00,ミロカロス,,みず,,一般,くさ,オボンのみ
38,2017.334,0461-00,マニューラ,,あく,こおり,一般,ゴースト,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,くさ,パワフルハーブ,0279-00,ペリッパー,,みず,ひこう,一般,はがね,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,くさ,しんぴのしずく,0062-00,ニョロボン,,みず,かくとう,一般,くさ,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,こだわりスカーフ
58,2004.019,0979-00,コノヨザル,,かくとう,ゴースト,一般,かくとう,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,いかさまダイス,0637-00,ウルガモス,,むし,ほのお,一般,みず,たべのこし,0812-00,ゴリランダー,,くさ,,一般,みず,きせきのタネ,0977-00,ヘイラッシャ,,みず,,一般,どく,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,あく,とつげきチョッキ
59,2003.867,1000-00,サーフゴー,,はがね,ゴースト,一般,ドラゴン,いのちのたま,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ゴースト,こうかくレンズ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,0727-00,ガオガエン,,ほのお,あく,一般,みず,オボンのみ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,とつげきチョッキ,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,こおり,きあいのタスキ
64,2000.266,0279-00,ペリッパー,,みず,ひこう,一般,ゴースト,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,くさ,とつげきチョッキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,くさ,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ,0635-00,サザンドラ,,あく,ドラゴン,一般,ほのお,おんみつマント,0591-00,モロバレル,,くさ,どく,一般,あく,オボンのみ
75,1980.426,0445-00,ガブリアス,,ドラゴン,じめん,一般,みず,いのちのたま,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いかさまダイス,0727-00,ガオガエン,,ほのお,あく,一般,ゴースト,オボンのみ,0973-00,カラミンゴ,,ひこう,かくとう,一般,ゴースト,きあいのタスキ,0233-00,ポリゴン２,,ノーマル,,一般,かくとう,しんかのきせき,1000-00,サーフゴー,,はがね,ゴースト,一般,ドラゴン,こだわりメガネ
88,1973.108,0279-00,ペリッパー,,みず,ひこう,一般,みず,こだわりメガネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,でんき,パワフルハーブ,0547-00,エルフーン,,くさ,フェアリー,一般,はがね,きあいのタスキ,0979-00,コノヨザル,,かくとう,ゴースト,一般,かくとう,こだわりスカーフ,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ドラゴン,こだわりハチマキ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,いのちのたま
91,1969.515,0549-01,ドレディア,ヒスイのすがた,くさ,かくとう,一般,ゴースト,こうかくレンズ,0324-00,コータス,,ほのお,,一般,ほのお,シュカのみ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,こだわりスカーフ,0936-00,グレンアルマ,,ほのお,エスパー,一般,あく,じゃくてんほけん,0903-00,オオニューラ,,かくとう,どく,一般,あく,サイコシード,0475-00,エルレイド,,エスパー,かくとう,一般,くさ,クリアチャーム
139,1925.146,0233-00,ポリゴン２,,ノーマル,,一般,じめん,しんかのきせき,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,たつじんのおび,0591-00,モロバレル,,くさ,どく,一般,みず,ゴツゴツメット,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ドラゴン,とつげきチョッキ,0727-00,ガオガエン,,ほのお,あく,一般,くさ,ぼうじんゴーグル,0186-00,ニョロトノ,,みず,,一般,くさ,こだわりメガネ
166,1912.981,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,きあいのタスキ,0637-00,ウルガモス,,むし,ほのお,一般,ほのお,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,いのちのたま,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ステラ,パワフルハーブ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりメガネ
167,1912.423,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,くさ,とつげきチョッキ,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,エスパー,こだわりスカーフ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,0426-00,フワライド,,ゴースト,ひこう,一般,でんき,サイコシード,0700-00,ニンフィア,,フェアリー,,一般,ほのお,こだわりメガネ
171,1911.361,0956-00,クエスパトラ,,エスパー,,一般,エスパー,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ゴースト,パワフルハーブ,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,みず,ぼうじんゴーグル,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,ほのお,いのちのたま,0936-00,グレンアルマ,,ほのお,エスパー,一般,くさ,オボンのみ
180,1907.987,1018-00,ブリジュラス,,はがね,ドラゴン,一般,くさ,たべのこし,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,おんみつマント,0812-00,ゴリランダー,,くさ,,一般,じめん,とつげきチョッキ,0279-00,ペリッパー,,みず,ひこう,一般,じめん,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,はがね,いかさまダイス,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,レンブのみ
185,1906.988,0009-00,カメックス,,みず,,一般,くさ,ソクノのみ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,どく,とつげきチョッキ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,ステラ,きあいのタスキ,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,いのちのたま,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いかさまダイス
197,1903.239,0936-00,グレンアルマ,,ほのお,エスパー,一般,あく,じゃくてんほけん,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ものまねハーブ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,いのちのたま,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ドラゴン,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,くさ,のどスプレー,0903-00,オオニューラ,,かくとう,どく,一般,あく,サイコシード
271,1871.107,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,サイコシード,0979-00,コノヨザル,,かくとう,ゴースト,一般,ステラ,こだわりスカーフ,0591-00,モロバレル,,くさ,どく,一般,ゴースト,くろいてっきゅう,0324-00,コータス,,ほのお,,一般,ほのお,こだわりメガネ,0901-00,ガチグマ,,じめん,ノーマル,一般,フェアリー,かえんだま,0936-00,グレンアルマ,,ほのお,エスパー,一般,あく,じゃくてんほけん
463,1824.215,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,こだわりスカーフ,0936-00,グレンアルマ,,ほのお,エスパー,一般,エスパー,きあいのタスキ,0903-00,オオニューラ,,かくとう,どく,一般,いわ,サイコシード,0324-00,コータス,,ほのお,,一般,ほのお,オボンのみ,0423-00,トリトドン,にしのうみ,みず,じめん,一般,はがね,たべのこし,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,ノーマル,こうかくレンズ
502,1817.665,0977-00,ヘイラッシャ,,みず,,一般,ひこう,おんみつマント,0978-00,シャリタツ,そったすがた,ドラゴン,みず,一般,みず,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,いかさまダイス,0609-00,シャンデラ,,ゴースト,ほのお,一般,かくとう,こだわりメガネ,0460-00,ユキノオー,,くさ,こおり,一般,みず,とつげきチョッキ,0849-00,ストリンダー,ハイなすがた,でんき,どく,一般,ゴースト,きあいのタスキ
554,1810.751,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ほのお,こだわりハチマキ,0981-00,リキキリン,,ノーマル,エスパー,一般,フェアリー,ゴツゴツメット,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,のどスプレー,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,いわ,グラスシード
595,1807.382,0903-00,オオニューラ,,かくとう,どく,一般,あく,サイコシード,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,ゴツゴツメット,0730-00,アシレーヌ,,みず,フェアリー,一般,ほのお,ものまねハーブ,0655-00,マフォクシー,,ほのお,エスパー,一般,エスパー,いのちのたま,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0530-00,ドリュウズ,,じめん,はがね,一般,ステラ,きあいのタスキ
614,1805.862,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,くさ,ゴツゴツメット,0901-00,ガチグマ,,じめん,ノーマル,一般,みず,かえんだま,0812-00,ゴリランダー,,くさ,,一般,ほのお,とつげきチョッキ,0324-00,コータス,,ほのお,,一般,ほのお,ひのたまプレート,0740-00,ケケンカニ,,かくとう,こおり,一般,ほのお,おんみつマント,0858-00,ブリムオン,,エスパー,フェアリー,一般,ほのお,いのちのたま
624,1804.543,0157-01,バクフーン,ヒスイのすがた,ほのお,ゴースト,一般,ほのお,こだわりスカーフ,0547-00,エルフーン,,くさ,フェアリー,一般,ゴースト,おんみつマント,1018-00,ブリジュラス,,はがね,ドラゴン,一般,ステラ,パワフルハーブ,0876-00,イエッサン,オスのすがた,エスパー,ノーマル,一般,エスパー,きあいのタスキ,0901-01,ガチグマ,アカツキのすがた,じめん,ノーマル,一般,ノーマル,シルクのスカーフ,0286-00,キノガッサ,,くさ,かくとう,一般,ゴースト,いかさまダイス
771,1787.425,0784-00,ジャラランガ,,ドラゴン,かくとう,一般,はがね,のどスプレー,0461-00,マニューラ,,あく,こおり,一般,ゴースト,きあいのタスキ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,みず,オボンのみ,0376-00,メタグロス,,はがね,エスパー,一般,じめん,こだわりハチマキ,0663-00,ファイアロー,,ほのお,ひこう,一般,ひこう,するどいくちばし,0730-00,アシレーヌ,,みず,フェアリー,一般,はがね,いのちのたま
813,1783.959,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0530-00,ドリュウズ,,じめん,はがね,一般,くさ,クリアチャーム,0876-01,イエッサン,メスのすがた,エスパー,ノーマル,一般,フェアリー,ゴツゴツメット,0282-00,サーナイト,,エスパー,フェアリー,一般,ほのお,こだわりスカーフ,0663-00,ファイアロー,,ほのお,ひこう,一般,ひこう,するどいくちばし,0591-00,モロバレル,,くさ,どく,一般,はがね,オボンのみ
889,1778.426,0248-00,バンギラス,,いわ,あく,一般,ひこう,とつげきチョッキ,0727-00,ガオガエン,,ほのお,あく,一般,くさ,ぼうじんゴーグル,0233-00,ポリゴン２,,ノーマル,,一般,ひこう,しんかのきせき,0591-00,モロバレル,,くさ,どく,一般,エスパー,ゴツゴツメット,0901-00,ガチグマ,,じめん,ノーマル,一般,ゴースト,かえんだま,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,こだわりスカーフ
