順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,もちもの_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,もちもの_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,もちもの_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,もちもの_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,もちもの_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,もちもの_6
1,2278.533,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし,0980-00,ドオー,,どく,じめん,一般,あく,くろいヘドロ,0823-00,アーマーガア,,ひこう,はがね,一般,ひこう,ゴツゴツメット,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,おんみつマント,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,ほのお,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,フェアリー,とつげきチョッキ
2,2266.23,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,ラムのみ,0956-00,クエスパトラ,,エスパー,,一般,ノーマル,ナモのみ,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,おんみつマント,0979-00,コノヨザル,,かくとう,ゴースト,一般,ほのお,たべのこし,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,フェアリー,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,くさ,きあいのタスキ
3,2263.109,0450-00,カバルドン,,じめん,,一般,はがね,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,たべのこし,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,こだわりスカーフ,0908-00,マスカーニャ,,くさ,あく,一般,フェアリー,フィラのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,こだわりメガネ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ
4,2262.267,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,フェアリー,ゴツゴツメット,0980-00,ドオー,,どく,じめん,一般,みず,オボンのみ,0462-00,ジバコイル,,でんき,はがね,一般,フェアリー,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ゴースト,こだわりスカーフ,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,フェアリー,こだわりメガネ
5,2257.114,0094-00,ゲンガー,,ゴースト,どく,一般,ノーマル,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,いのちのたま,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,とつげきチョッキ,0823-00,アーマーガア,,ひこう,はがね,一般,かくとう,ゴツゴツメット,0934-00,キョジオーン,,いわ,,一般,みず,たべのこし,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,こだわりメガネ
6,2256.868,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,1000-00,サーフゴー,,はがね,ゴースト,一般,ゴースト,こだわりスカーフ,0998-00,セグレイブ,,ドラゴン,こおり,一般,じめん,いのちのたま,0977-00,ヘイラッシャ,,みず,,一般,じめん,オボンのみ,0637-00,ウルガモス,,むし,ほのお,一般,フェアリー,あつぞこブーツ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,ひかりのこな
7,2256.023,0908-00,マスカーニャ,,くさ,あく,一般,フェアリー,こだわりハチマキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,あつぞこブーツ,0977-00,ヘイラッシャ,,みず,,一般,フェアリー,たべのこし,1000-00,サーフゴー,,はがね,ゴースト,一般,ひこう,カムラのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,ゴースト,カゴのみ,0970-00,キラフロル,,いわ,どく,一般,ゴースト,きあいのタスキ
8,2253.364,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,するどいくちばし,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,0998-00,セグレイブ,,ドラゴン,こおり,一般,こおり,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,フェアリー,いのちのたま,0977-00,ヘイラッシャ,,みず,,一般,じめん,オボンのみ,0423-00,トリトドン,にしのうみ,みず,じめん,一般,ノーマル,おんみつマント
9,2253.087,0908-00,マスカーニャ,,くさ,あく,一般,くさ,きあいのタスキ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,フェアリー,たべのこし,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,はがね,オボンのみ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,フェアリー,こだわりハチマキ,0998-00,セグレイブ,,ドラゴン,こおり,一般,でんき,とつげきチョッキ
10,2252.952,0445-00,ガブリアス,,ドラゴン,じめん,一般,じめん,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ひこう,こだわりハチマキ,0635-00,サザンドラ,,あく,ドラゴン,一般,ゴースト,たべのこし,1000-00,サーフゴー,,はがね,ゴースト,一般,あく,じゃくてんほけん,0956-00,クエスパトラ,,エスパー,,一般,ノーマル,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,あく,ヨプのみ
11,2249.658,0908-00,マスカーニャ,,くさ,あく,一般,あく,こだわりスカーフ,0197-00,ブラッキー,,あく,,一般,フェアリー,たべのこし,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,はがね,とつげきチョッキ,1000-00,サーフゴー,,はがね,ゴースト,一般,はがね,いのちのたま,0445-00,ガブリアス,,ドラゴン,じめん,一般,はがね,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,ほのお,ゴツゴツメット
12,2243.001,0635-00,サザンドラ,,あく,ドラゴン,一般,はがね,いのちのたま,1000-00,サーフゴー,,はがね,ゴースト,一般,かくとう,シュカのみ,0823-00,アーマーガア,,ひこう,はがね,一般,あく,じゃくてんほけん,0149-00,カイリュー,,ドラゴン,ひこう,一般,ノーマル,こだわりハチマキ,0956-00,クエスパトラ,,エスパー,,一般,あく,きあいのタスキ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,ノーマル,たべのこし
