順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
16,2352.447,0547-00,エルフーン,,くさ,フェアリー,一般,,きあいのタスキ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0279-00,ペリッパー,,みず,ひこう,一般,,ヨロギのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ
22,2335.119,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ
51,2292.379,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,たべのこし,0925-00,イッカネズミ,３びきかぞく,ノーマル,,一般,,ヨプのみ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ
80,2268.183,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,,りゅうのキバ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0530-00,ドリュウズ,,じめん,はがね,一般,,きあいのタスキ,0248-00,バンギラス,,いわ,あく,一般,,バンギラスナイト,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
132,2255.777,0248-00,バンギラス,,いわ,あく,一般,,こだわりスカーフ,0530-00,ドリュウズ,,じめん,はがね,一般,,きあいのタスキ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0784-00,ジャラランガ,,ドラゴン,かくとう,一般,,りゅうのキバ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ
149,2254.268,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0745-02,ルガルガン,たそがれのすがた,いわ,,一般,,きあいのタスキ
155,2253.890,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0009-00,カメックス,,みず,,一般,,カメックスナイト,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト
183,2251.679,0763-00,アマージョ,,くさ,,一般,,こだわりスカーフ,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
274,2244.311,0324-00,コータス,,ほのお,,一般,,もくたん,0003-00,フシギバナ,,くさ,どく,一般,,きあいのタスキ,0981-00,リキキリン,,ノーマル,エスパー,一般,,オボンのみ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0009-00,カメックス,,みず,,一般,,カメックスナイト
290,2242.841,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0727-00,ガオガエン,,ほのお,あく,一般,,イトケのみ,0186-00,ニョロトノ,,みず,,一般,,オボンのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,ナモのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト
305,2240.306,0981-00,リキキリン,,ノーマル,エスパー,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,ナモのみ,0727-00,ガオガエン,,ほのお,あく,一般,,もくたん,0740-00,ケケンカニ,,かくとう,こおり,一般,,ケケンカニナイト,0323-00,バクーダ,,ほのお,じめん,一般,,バクーダナイト
345,2210.132,0700-00,ニンフィア,,フェアリー,,一般,,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
381,2190.338,0623-00,ゴルーグ,,じめん,ゴースト,一般,,ゴルーグナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0981-00,リキキリン,,ノーマル,エスパー,一般,,ナモのみ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0324-00,コータス,,ほのお,,一般,,もくたん
493,2150.689,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,とつげきチョッキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0983-00,ドドゲザン,,あく,はがね,一般,,オッカのみ
991,2072.000,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0727-00,ガオガエン,,ほのお,あく,一般,,ヨプのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,ナモのみ,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,きあいのタスキ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0184-00,マリルリ,,みず,フェアリー,一般,,オボンのみ
1195,2041.178,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,ナモのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト
1484,2019.884,0181-00,デンリュウ,,でんき,,一般,,デンリュウナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0475-00,エルレイド,,エスパー,かくとう,一般,,オボンのみ,0350-00,ミロカロス,,みず,,一般,,たべのこし,0959-00,デカヌチャン,,フェアリー,はがね,一般,,きあいのタスキ,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト
1531,2017.004,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0981-00,リキキリン,,ノーマル,エスパー,一般,,ナモのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,バコウのみ,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0660-00,ホルード,,ノーマル,じめん,一般,,こだわりスカーフ
